央视,#genre#
CCTV1综合,http://183.223.93.138:1234/608807420
CCTV1综合,http://121.16.248.169:7788/608807420
CCTV1综合,http://113.232.2.9:1234/608807420
CCTV1综合,http://120.10.167.40:1234/608807420
CCTV1综合,http://182.127.152.93:1234/608807420
CCTV2财经,http://183.223.93.138:1234/631780532
CCTV2财经,http://121.16.248.169:7788/631780532
CCTV2财经,http://113.232.2.9:1234/631780532
CCTV2财经,http://120.10.167.40:1234/631780532
CCTV2财经,http://182.127.152.93:1234/631780532
CCTV3综艺,http://183.223.93.138:1234/624878271
CCTV3综艺,http://121.16.248.169:7788/624878271
CCTV3综艺,http://113.232.2.9:1234/624878271
CCTV3综艺,http://120.10.167.40:1234/624878271
CCTV3综艺,http://182.127.152.93:1234/624878271
CCTV4中文国际,http://183.223.93.138:1234/631780421
CCTV4中文国际,http://121.16.248.169:7788/631780421
CCTV4中文国际,http://113.232.2.9:1234/631780421
CCTV4中文国际,http://120.10.167.40:1234/631780421
CCTV4中文国际,http://182.127.152.93:1234/631780421
CCTV5体育,http://183.223.93.138:1234/641886683
CCTV5体育,http://121.16.248.169:7788/641886683
CCTV5体育,http://113.232.2.9:1234/641886683
CCTV5体育,http://120.10.167.40:1234/641886683
CCTV5体育,http://182.127.152.93:1234/641886683
CCTV5+体育赛事,http://183.223.93.138:1234/641886773
CCTV5+体育赛事,http://121.16.248.169:7788/641886773
CCTV5+体育赛事,http://113.232.2.9:1234/641886773
CCTV5+体育赛事,http://120.10.167.40:1234/641886773
CCTV5+体育赛事,http://182.127.152.93:1234/641886773
CCTV6电影,http://183.223.93.138:1234/624878396
CCTV6电影,http://121.16.248.169:7788/624878396
CCTV6电影,http://113.232.2.9:1234/624878396
CCTV6电影,http://120.10.167.40:1234/624878396
CCTV6电影,http://182.127.152.93:1234/624878396
CCTV7国防军事,http://183.223.93.138:1234/673168121
CCTV7国防军事,http://121.16.248.169:7788/673168121
CCTV7国防军事,http://113.232.2.9:1234/673168121
CCTV7国防军事,http://120.10.167.40:1234/673168121
CCTV7国防军事,http://182.127.152.93:1234/673168121
CCTV8电视剧,http://183.223.93.138:1234/624878356
CCTV8电视剧,http://121.16.248.169:7788/624878356
CCTV8电视剧,http://113.232.2.9:1234/624878356
CCTV8电视剧,http://120.10.167.40:1234/624878356
CCTV8电视剧,http://182.127.152.93:1234/624878356
CCTV9纪录,http://183.223.93.138:1234/673168140
CCTV9纪录,http://121.16.248.169:7788/673168140
CCTV9纪录,http://113.232.2.9:1234/673168140
CCTV9纪录,http://120.10.167.40:1234/673168140
CCTV9纪录,http://182.127.152.93:1234/673168140
CCTV10科教,http://183.223.93.138:1234/624878405
CCTV10科教,http://121.16.248.169:7788/624878405
CCTV10科教,http://113.232.2.9:1234/624878405
CCTV10科教,http://120.10.167.40:1234/624878405
CCTV10科教,http://182.127.152.93:1234/624878405
CCTV11戏曲,http://183.223.93.138:1234/667987558
CCTV11戏曲,http://121.16.248.169:7788/667987558
CCTV11戏曲,http://113.232.2.9:1234/667987558
CCTV11戏曲,http://120.10.167.40:1234/667987558
CCTV11戏曲,http://182.127.152.93:1234/667987558
CCTV12社会与法,http://183.223.93.138:1234/673168185
CCTV12社会与法,http://121.16.248.169:7788/673168185
CCTV12社会与法,http://113.232.2.9:1234/673168185
CCTV12社会与法,http://120.10.167.40:1234/673168185
CCTV12社会与法,http://182.127.152.93:1234/673168185
CCTV13新闻,http://183.223.93.138:1234/608807423
CCTV13新闻,http://121.16.248.169:7788/608807423
CCTV13新闻,http://113.232.2.9:1234/608807423
CCTV13新闻,http://120.10.167.40:1234/608807423
CCTV13新闻,http://182.127.152.93:1234/608807423
CCTV14少儿,http://183.223.93.138:1234/624878440
CCTV14少儿,http://121.16.248.169:7788/624878440
CCTV14少儿,http://113.232.2.9:1234/624878440
CCTV14少儿,http://120.10.167.40:1234/624878440
CCTV14少儿,http://182.127.152.93:1234/624878440
CCTV15音乐,http://183.223.93.138:1234/673168223
CCTV15音乐,http://121.16.248.169:7788/673168223
CCTV15音乐,http://113.232.2.9:1234/673168223
CCTV15音乐,http://120.10.167.40:1234/673168223
CCTV15音乐,http://182.127.152.93:1234/673168223
CCTV17农业农村,http://183.223.93.138:1234/673168256
CCTV17农业农村,http://121.16.248.169:7788/673168256
CCTV17农业农村,http://113.232.2.9:1234/673168256
CCTV17农业农村,http://120.10.167.40:1234/673168256
CCTV17农业农村,http://182.127.152.93:1234/673168256
CCTV4欧洲,http://183.223.93.138:1234/608807419
CCTV4欧洲,http://121.16.248.169:7788/608807419
CCTV4欧洲,http://113.232.2.9:1234/608807419
CCTV4欧洲,http://120.10.167.40:1234/608807419
CCTV4欧洲,http://182.127.152.93:1234/608807419
CCTV4美洲,http://183.223.93.138:1234/608807416
CCTV4美洲,http://121.16.248.169:7788/608807416
CCTV4美洲,http://113.232.2.9:1234/608807416
CCTV4美洲,http://120.10.167.40:1234/608807416
CCTV4美洲,http://182.127.152.93:1234/608807416
CGTN外语纪录,http://183.223.93.138:1234/609006487
CGTN外语纪录,http://121.16.248.169:7788/609006487
CGTN外语纪录,http://113.232.2.9:1234/609006487
CGTN外语纪录,http://120.10.167.40:1234/609006487
CGTN外语纪录,http://182.127.152.93:1234/609006487
CGTN阿拉伯语,http://183.223.93.138:1234/609154345
CGTN阿拉伯语,http://121.16.248.169:7788/609154345
CGTN阿拉伯语,http://113.232.2.9:1234/609154345
CGTN阿拉伯语,http://120.10.167.40:1234/609154345
CGTN阿拉伯语,http://182.127.152.93:1234/609154345
CGTN西班牙语,http://183.223.93.138:1234/609006450
CGTN西班牙语,http://121.16.248.169:7788/609006450
CGTN西班牙语,http://113.232.2.9:1234/609006450
CGTN西班牙语,http://120.10.167.40:1234/609006450
CGTN西班牙语,http://182.127.152.93:1234/609006450
CGTN法语,http://183.223.93.138:1234/609006476
CGTN法语,http://121.16.248.169:7788/609006476
CGTN法语,http://113.232.2.9:1234/609006476
CGTN法语,http://120.10.167.40:1234/609006476
CGTN法语,http://182.127.152.93:1234/609006476
CGTN俄语,http://183.223.93.138:1234/609006446
CGTN俄语,http://121.16.248.169:7788/609006446
CGTN俄语,http://113.232.2.9:1234/609006446
CGTN俄语,http://120.10.167.40:1234/609006446
CGTN俄语,http://182.127.152.93:1234/609006446
老故事,http://183.223.93.138:1234/884121956
老故事,http://121.16.248.169:7788/884121956
老故事,http://113.232.2.9:1234/884121956
老故事,http://120.10.167.40:1234/884121956
老故事,http://182.127.152.93:1234/884121956
发现之旅,http://183.223.93.138:1234/624878970
发现之旅,http://121.16.248.169:7788/624878970
发现之旅,http://113.232.2.9:1234/624878970
发现之旅,http://120.10.167.40:1234/624878970
发现之旅,http://182.127.152.93:1234/624878970
中学生,http://183.223.93.138:1234/708869532
中学生,http://121.16.248.169:7788/708869532
中学生,http://113.232.2.9:1234/708869532
中学生,http://120.10.167.40:1234/708869532
中学生,http://182.127.152.93:1234/708869532
CGTN,http://183.223.93.138:1234/609017205
CGTN,http://121.16.248.169:7788/609017205
CGTN,http://113.232.2.9:1234/609017205
CGTN,http://120.10.167.40:1234/609017205
CGTN,http://182.127.152.93:1234/609017205

体育,#genre#
赛事最经典,http://183.223.93.138:1234/646596895
体坛名栏汇,http://183.223.93.138:1234/629943305
四海钓鱼,http://183.223.93.138:1234/637444975
陕西体育休闲频道,http://183.223.93.138:1234/956909356
24小时城市联赛轮播台,http://183.223.93.138:1234/915512915
武术世界,http://183.223.93.138:1234/958475359
快乐垂钓,http://183.223.93.138:1234/961930263

卫视,#genre#
东方卫视,http://183.223.93.138:1234/651632648
东方卫视,http://121.16.248.169:7788/651632648
东方卫视,http://113.232.2.9:1234/651632648
东方卫视,http://120.10.167.40:1234/651632648
东方卫视,http://182.127.152.93:1234/651632648
江苏卫视,http://183.223.93.138:1234/623899368
江苏卫视,http://121.16.248.169:7788/623899368
江苏卫视,http://113.232.2.9:1234/623899368
江苏卫视,http://120.10.167.40:1234/623899368
江苏卫视,http://182.127.152.93:1234/623899368
广东卫视,http://183.223.93.138:1234/608831231
广东卫视,http://121.16.248.169:7788/608831231
广东卫视,http://113.232.2.9:1234/608831231
广东卫视,http://120.10.167.40:1234/608831231
广东卫视,http://182.127.152.93:1234/608831231
北京卫视,http://183.223.93.138:1234/630287636
北京卫视,http://121.16.248.169:7788/630287636
北京卫视,http://113.232.2.9:1234/630287636
北京卫视,http://120.10.167.40:1234/630287636
北京卫视,http://182.127.152.93:1234/630287636
辽宁卫视,http://183.223.93.138:1234/630291707
辽宁卫视,http://121.16.248.169:7788/630291707
辽宁卫视,http://113.232.2.9:1234/630291707
辽宁卫视,http://120.10.167.40:1234/630291707
辽宁卫视,http://182.127.152.93:1234/630291707
河北卫视,http://183.223.93.138:1234/962042070
河北卫视,http://121.16.248.169:7788/962042070
河北卫视,http://113.232.2.9:1234/962042070
河北卫视,http://120.10.167.40:1234/962042070
河北卫视,http://182.127.152.93:1234/962042070
江西卫视,http://183.223.93.138:1234/783847495
江西卫视,http://121.16.248.169:7788/783847495
江西卫视,http://113.232.2.9:1234/783847495
江西卫视,http://120.10.167.40:1234/783847495
江西卫视,http://182.127.152.93:1234/783847495
河南卫视,http://183.223.93.138:1234/790187291
河南卫视,http://121.16.248.169:7788/790187291
河南卫视,http://113.232.2.9:1234/790187291
河南卫视,http://120.10.167.40:1234/790187291
河南卫视,http://182.127.152.93:1234/790187291
陕西卫视,http://183.223.93.138:1234/738910838
陕西卫视,http://121.16.248.169:7788/738910838
陕西卫视,http://113.232.2.9:1234/738910838
陕西卫视,http://120.10.167.40:1234/738910838
陕西卫视,http://182.127.152.93:1234/738910838
大湾区卫视,http://183.223.93.138:1234/608917627
大湾区卫视,http://121.16.248.169:7788/608917627
大湾区卫视,http://113.232.2.9:1234/608917627
大湾区卫视,http://120.10.167.40:1234/608917627
大湾区卫视,http://182.127.152.93:1234/608917627
湖北卫视,http://183.223.93.138:1234/947472496
湖北卫视,http://121.16.248.169:7788/947472496
湖北卫视,http://113.232.2.9:1234/947472496
湖北卫视,http://120.10.167.40:1234/947472496
湖北卫视,http://182.127.152.93:1234/947472496
吉林卫视,http://183.223.93.138:1234/947472500
吉林卫视,http://121.16.248.169:7788/947472500
吉林卫视,http://113.232.2.9:1234/947472500
吉林卫视,http://120.10.167.40:1234/947472500
吉林卫视,http://182.127.152.93:1234/947472500
青海卫视,http://183.223.93.138:1234/947472506
青海卫视,http://121.16.248.169:7788/947472506
青海卫视,http://113.232.2.9:1234/947472506
青海卫视,http://120.10.167.40:1234/947472506
青海卫视,http://182.127.152.93:1234/947472506
东南卫视,http://183.223.93.138:1234/849116810
东南卫视,http://121.16.248.169:7788/849116810
东南卫视,http://113.232.2.9:1234/849116810
东南卫视,http://120.10.167.40:1234/849116810
东南卫视,http://182.127.152.93:1234/849116810
海南卫视,http://183.223.93.138:1234/947472502
海南卫视,http://121.16.248.169:7788/947472502
海南卫视,http://113.232.2.9:1234/947472502
海南卫视,http://120.10.167.40:1234/947472502
海南卫视,http://182.127.152.93:1234/947472502
海峡卫视,http://183.223.93.138:1234/849119120
海峡卫视,http://121.16.248.169:7788/849119120
海峡卫视,http://113.232.2.9:1234/849119120
海峡卫视,http://120.10.167.40:1234/849119120
海峡卫视,http://182.127.152.93:1234/849119120
中国农林卫视,http://183.223.93.138:1234/956904896
